id,question_text,correct_answer,paper_id,paper_id_label
1,Consider the one-port network shown below. What is the equivalent resistance of this network?,109.1 Ω,1,1
2,Consider the one-port network shown below. Note that the resistor values are shown as conductances. What is the equivalent resistance of this network?,125.05 kΩ,1,1
3,Consider the one-port network shown below. What is the equivalent resistance of this network?,240 Ω,1,1
4,Consider the circuit below. The equivalent resistance of this network is measured as being 191.21 Ω. What is the value of the resistor R1?,320 Ω,1,1
5,Which of the following is a unit of voltage?,Volts,1,1
6,"One way to solve linear circuits is the method of superposition. When using the method of superposition, which of the following schematics in the figure below is a correct representation of the circuit in Figure 1 when the 12V voltage source is set to zero?",Figure (A),1,1
7,"With reference to Figure 1, which of the following is a correct Kirchhoff’s Voltage Law Equation?",1800I1 = 910I3 + 3200I2,1,1
8,"With reference to Figure 1, which of the following is a correct Kirchhoff’s Current Law Equation?",V_B - V_A / 910 + V_C - V_A / 3200 + V_D - V_A / 4100 = 0,1,1
9,"With reference to Figure 1, which of the following is a correct Kirchhoff’s Current Law Equation at node D?",I4 + I5 + I6 = 0,1,1
10,"In the circuit shown in Figure 1, what is the value of Current I5?",-8 mA,1,1
11,"In the circuit shown in Figure 1, what is the value of current I1?",-5.16 mA,1,1
12,"In the circuit shown in Figure 1, what is the value of node voltage VC?",,1,1
13,"In the circuit shown in Figure 1, what is the value of branch voltage V2?",,1,1
14,"In the circuit shown in Figure 1, what is the value of the power consumed by the 8mA current source?",,1,1
15,"In the circuit shown in Figure 1, what is the value of the power consumed by the 4.1kΩ resistor?",,1,1
16,"In the circuit shown in Figure 1, what is the value of the total power consumed by all the resistors in the circuit (i.e. including the 910Ω, 1.8kΩ, 3.2kΩ and 4.1kΩ resistors)?",,1,1
17,"If the one-port network of Figure 2 is replaced by its Thevenin Equivalent Circuit, what is the value of the voltage source in that equivalent circuit, VT?",,1,1
18,"If the one-port network of Figure 2 is replaced by its Thevenin Equivalent Circuit, what is the value of the series resistor in that equivalent circuit, RT?",,1,1
19,"If the one-port network of Figure 2 is replaced by its Norton Equivalent Circuit, what is the value of the current source in that equivalent circuit, IN?",,1,1
20,"Given the circuit schematic of Figure 3 and the diode I−V characteristic of Figure 4, which of the following is closest to the value of VD?",,1,1
21,"Given the circuit schematic of Figure 3 and the diode I−V characteristic of Figure 4, which of the following is closest to the value of ID?",,1,1
22,"With respect to the schematic in Figure 3, and the diode I−V characteristic of Figure 4, what percentage of the power supplied by the voltage source is dissipated by the LED? Choose the closest answer.",,1,1
23,"In a particular application, you need to ensure that the current through the diode, ID is set to 3mA. You are able to modify the circuit in Figure 3 by replacing the voltage source with another value in order to achieve this desired current (however the resistor should remain the same, and you should use an identical LED). What value voltage source should you choose? Choose the closest answer.",,1,1
24,A sinusoidal voltage is displayed in the figure below. Which of the following equations best models the sinusoidal voltage displayed?,Vs(t) = 120Cos(190t + 1.05),1,1
25,Which of the following expressions correctly models the voltage v(t) across an inductor (with inductance L) to the current i(t) through the inductor?,i(t) = (1/L) ∫ v(t) dt,1,1
26,Consider the one-port network shown below: What is the equivalent inductance of this network?,0.833 mH,1,1
27,"In the circuit shown below, L1 = 2mH, R2 = 1.2kΩ, C3 = 0.1 μF. At a particular instant of time, vc = 3V, ic = 2A, vL = -4V, iL = -5A. At that instant of time, how much energy is stored in the inductor?",25 mJ,1,1
28,"Consider the one-port network shown below. If the frequency of operation is 5kHz, what is the equivalent impedance of this network?",1800 + j691.2 Ω,1,1
29,Refer to the circuit in the Figure 5. The frequency of the AC voltage source is 50Hz. What is the value of the phasor current (I1)?,0.602e^(j0.75) A,1,1
30,Refer to the circuit in the figure 5. The frequency of the AC voltage source is 50Hz. What is the value of the phasor voltage across the capacitor (V2)?,233.69e^(-j0.82) V,1,1
31,Consider the one-port network shown below. What is the equivalent resistance of this network?,28.731 kΩ,2,2
32,Consider the one-port network shown below. Note that the resistor values are shown as conductances. What is the equivalent resistance of this network?,190.5 Ω,2,2
33,Consider the one-port network shown below. What is the equivalent resistance of this network?,256.6 Ω,2,2
34,Consider the circuit below. The equivalent resistance of this network is measured as being 12.61Ω. What is the value of the resistor R1?,"A unique value of the resistor R1 is able to be calculated with the information provided, but neither (A) or (B) are correct.",2,2
35,Which of the following is a unit of current?,Both (B) and (C) are units of current.,2,2
36,"One way to solve linear circuits is the method of superposition. When using the method of superposition, which of the following schematics in the figure below is a correct representation of the circuit when the 4.5mA current source is set to zero?",Figure (D),2,2
37,"When using the method of superposition, what is the value of the voltage V5 when the 9mA current source is set to zero?",12.15 V,2,2
38,"With reference to Figure 1, which of the following is a correct Kirchhoff’s Voltage Law Equation?",1100I3 + 3100I1 = 2900I2,2,2
39,"With reference to Figure 1, which of the following is a correct Kirchhoff’s Current Law Equation?",VB−VC/1100 + VA−VC/2900 + VD−VC/2700 = 0,2,2
40,"With reference to Figure 1, which of the following is a correct Kirchhoff’s Current Law Equation at node D?","None of answers (A)-(C) are correct, but it is possible to write a correct Kirchhoff’s Current Law Equation at node D",2,2
41,"In the circuit shown in Figure 1, what is the value of current I4?",-4.5 mA,2,2
42,"In the circuit shown in Figure 1, what is the value of current I5?",,2,2
43,"In the circuit shown in Figure 1, what is the value of node voltage VC?",,2,2
44,"In the circuit shown in Figure 1, what is the value of branch voltage V2?",,2,2
45,"In the circuit shown in Figure 1, what is the value of branch current I3?",,2,2
46,"In the circuit shown in Figure 1, what is the value of the power supplied by the 9mA current source?",,2,2
47,"In the circuit shown in Figure 1, what is the value of the total power consumed by all the resistors in the circuit (i.e. including the 1.1kΩ, 2.7kΩ, 2.9kΩ and 3.1kΩ resistors)?",,2,2
48,"If the one-port network of Figure 2 is replaced by its Thevenin Equivalent Circuit, what is the value of the voltage source in that equivalent circuit, VT?",,2,2
49,"If the one-port network of Figure 2 is replaced by its Thevenin Equivalent Circuit, what is the value of the series resistor in that equivalent circuit, RT?",,2,2
50,"If the one-port network of Figure 2 is replaced by its Norton Equivalent Circuit, what is the value of the current source in that equivalent circuit, IN?",,2,2
51,"Given the circuit schematic of Figure 3 and the diode I−V characteristic of Figure 4, which of the following is closest to the value of VD?",,2,2
52,"Given the circuit schematic of Figure 3 and the diode I−V characteristic of Figure 4, which of the following is closest to the value of ID?",,2,2
53,"With respect to the schematic in figure 3, what percentage of the power supplied by the current source is dissipated by the LED? Choose the closest answer.",,2,2
54,"In a particular application, you need to ensure that the current through the diode, ID is set to 4mA. You are able to modify the circuit in Figure 3 by replacing the resistor with another value in order to achieve this desired current (however the current source should remain the same, and you should use an identical LED). What value resistor should you choose?",,2,2
55,A sinusoidal voltage is displayed in the figure below. Which of the following equations best models the sinusoidal voltage displayed?,Vs(t) = 120Cos(315t − 1.0),2,2
56,Which of the following expressions correctly models the voltage v(t) across an inductor (with inductance L) to the current i(t) through the inductor?,None of the above,2,2
57,A practical capacitor does not allow an instantaneous step change in its:,Voltage,2,2
58,"In the circuit shown below, L1 = 6 H, R2 = 42 Ω, C3 = 27 µF. At a particular instant of time, vc = −12V, ic = 4 A, vL = 14V, iL = -6A. At that instant of time, how much energy is stored in the inductor?",108 J,2,2
59,"Consider the one-port network shown below. If the frequency of operation is 100Hz, what is the equivalent impedance of this network?",370 - j132.6Ω,2,2
60,Refer to the circuit in the figure below. The frequency of the AC voltage source is 100Hz. What is the value of the phasor voltage across the capacitor (V2)?,57.36e^{-j1.23} V,2,2
61,Consider the one-port network shown below. What is the equivalent conductance of this network?,169 µS,3,3
62,Consider the one-port network shown below. Note that the resistor values are shown as conductances. What is the equivalent resistance of this network?,92.59 Ω,3,3
63,Consider the one-port network shown below. What is the equivalent resistance of this network?,391.7 Ω,3,3
64,Consider the circuit below. The equivalent resistance of this network is measured as being 1030Ω. What is the value of the resistor R1?,There is no possible physical resistor value for R1 which satisfies the overall resistance of the network.,3,3
65,"One way to solve linear circuits is the method of superposition. When using the method of superposition, which of the following schematics in the figure below is a correct representation of the circuit when the 7mA current source is set to zero?",Figure (C),3,3
66,"When using the method of superposition, what is the value of current I3 when the 9V voltage source is set to zero?",3.03 mA,3,3
67,"With reference to Figure 1, which of the following is a correct Kirchoff’s Voltage Law Equation?",2200𝐼2 + 2700𝐼5 + 4800𝐼6 = 0,3,3
68,"With reference to Figure 1, which of the following is a correct Kirchoff’s Current Law Equation?",\frac{V_B - V_C}{810} + \frac{V_D - V_C}{2700} + \frac{V_A - V_C}{2200} = 0,3,3
